"onDate","onTime","temp","voltage","current","speed","tiltAngle","rpm","lat","long"
"6-1-2018","19:53:48","10","10","10","10","10","10","10","10"
"6-1-2018","19:56:7","10","10","10","10","10","10","22.7248170","75.8243170"
"6-1-2018","19:56:59","10","10","10","10","10","10","22.7248170","75.8243170"
"6-1-2018","20:0:56","10","10","10","10","10","10","22.7248170","75.8243170"
"6-1-2018","20:1:7","10","10","10","10","10","10","22.7248170","75.8243170"
"9-1-2018","18:32:54","10","10","10","10","10","10","22.7248170","75.8243170"
"9-1-2018","18:33:5","11","10","10","10","10","10","22.7248170","75.8243170"
"9-1-2018","18:33:27","11","11111","10","10","10","10","22.7248170","75.8243170"
"9-1-2018","18:33:39","11",,"10","10","10","10","22.7248170","75.8243170"
"9-1-2018","18:33:46","11",,"10","10","","10","22.7248170","75.8243170"
"9-1-2018","18:33:54","11",,"10","10",,"10","22.7248170","75.8243170"
"9-1-2018","18:57:20","10","10","10","10","10","10","22.7248170","75.8243170"
"9-1-2018","23:41:55","10","10","10","10","10","10","22.7248170","75.8243170"
"12-1-2018","1:21:5","10","10","10","10","11","10","22.7248170","75.8243170"
"15-1-2018","22:51:54","10","10","10","10","11","10","22.7248170","75.8243170"
"16-1-2018","19:0:41","10","48","10","10","0c","100","2243.345","0755.111"
"16-1-2018","21:36:3","10","10","10","10","10","10","22.7248170","75.8243170"
"16-1-2018","22:46:21","58","0","941","00",,"0","2243.6422N","07554.6843E"
"16-1-2018","22:46:48","56","0","900","00",,"0","2243.6422N","07554.6843E"
"16-1-2018","22:48:1","59","0","927","00",,"0","2243.6422N","07554.6843E"
"16-1-2018","22:48:30","56","0","900","00",,"0","2243.6422N","07554.6843E"
"16-1-2018","22:49:22","58","0","933","00",,"0","2243.6422N","07554.6843E"
"16-1-2018","22:49:50","58","0","884","00",,"0","2243.6422N","07554.6843E"
"16-1-2018","22:50:17","58","0","945","00",,"0","2243.6422N","07554.6843E"
"16-1-2018","22:50:47","58","0","917","00",,"0","2243.6422N","07554.6843E"
"16-1-2018","22:51:37","58","0","916","",,"0","2243.6422N","07554.6843E"
"16-1-2018","22:52:56","58","0","933","00",,"0","2243.6422N","07554.6843E"
"18-1-2018","15:58:3","57","0","927","",,"0","2243.6422N","07554.6843E"
"18-1-2018","15:59:36","59","0","964","",,"0","2243.6422N","07554.6843E"
"18-1-2018","16:1:10","58","0","955","",,"247","2243.6422N","07554.6843E"
"18-1-2018","16:8:24","58","0","938","",,"0","2243.6422N","07554.6843E"
"18-1-2018","16:9:56","58","0","940","",,"0","2243.6422N","07554.6843E"
"18-1-2018","21:23:40","52","0","815","1.96","1","0",",","7"
"18-1-2018","21:24:12","50","0","839",".50","15","0",",","6"
"18-1-2018","21:32:24","49","0","829","0.00",,"0","2249.3716N","07556.6157E"
"18-1-2018","21:32:54","50","0","823","0.00",,"0","2249.3723N","07556.6139E"
"18-1-2018","21:33:26","49","0","834","0.00",,"0","2249.3715N","07556.6142E"
"18-1-2018","21:33:58","51","0","839","0.00",,"0","2249.3726N","07556.6137E"
"18-1-2018","21:34:28","50","0","850","0.00",,"0","2249.3730N","07556.6151E"
"18-1-2018","21:37:43","50","0","833","0.00",,"0","2249.3734N","07556.6155E"
"18-1-2018","21:38:10","50","0","823","0.00",,"0","2249.3723N","07556.6154E"
"18-1-2018","23:2:25","49","0","806","0.00",,"0","2249.3708N","07556.6136E"
"18-1-2018","23:2:58","49","0","806","0.00",,"0","2249.3709N","07556.6123E"
"18-1-2018","23:3:25","49","0","828","0.00",,"0","2249.3704N","07556.6083E"
"18-1-2018","23:3:54","50","0","818","0.00",,"0","2249.3708N","07556.6096E"
"18-1-2018","23:4:22","49","0","838","0.00",,"0","2249.3708N","07556.6097E"
"18-1-2018","23:4:56","49","0","830","0.00",,"0","2249.3722N","07556.6093E"
"18-1-2018","23:5:27","51","0","835","0.00",,"0","2249.3713N","07556.6094E"
"18-1-2018","23:5:55","49","0","833","0.00",,"0","2249.3719N","07556.6103E"
"18-1-2018","23:6:23","49","0","843","0.00",,"0","2249.3722N","07556.6095E"
"18-1-2018","23:7:2","50","0","823","0.00",,"0","2249.3722N","07556.6095E"
"21-1-2018","16:3:7","63","0","-108","00","15","0",",","0"